sentence,dialect,classification,confidence
"الخباز رجل زقرت، بيطلع الشراك طري وبيجنن.",karaki,positive,medium
"انفهق غاد عن الشباك، خليني أعرف أطلب من الخباز.",karaki,negative,high
"لا تصير شفح وتاكل كل الخبز، خلي لغيرك.",karaki,negative,medium
"وجع الطواحين بيموت، لازم نروح عالدكتور اليوم.",karaki,neutral,low
"انطم عالكرسي يا خالد، خلي الدكتور يعرف يخلع السن.",karaki,negative,medium
"احرص لا تاكل عالجهة الثانية، اللثة لسه بتنزف.",karaki,neutral,low
"الفيلم بيخوف، فوت جوا وتغطى منيح.",karaki,neutral,high
"عشي الضوء خلينا نحضر الفيلم عالعتمة، هيك أحسن.",karaki,neutral,medium
"بطلنا نسمع الصوت من ورا دوشتك، اسكت.",karaki,negative,low
"البطل غشيم وغلاّط، راح عالمكان الغلط.",karaki,negative,high
"هاتوا الأغراض خلينا نمشي عالصحراوي، وادي رم بعيد.",karaki,neutral,high
"لا تتوهرف وأنت بتسوق عالطريق، دير بالك من الجمال.",karaki,neutral,medium
"جمعوا الحطب خلينا نولع النار، الجو بارد عالأخير.",karaki,neutral,high
"الشوي جهز واللحم استوى، أفلحوا عالعشا يا خوان.",karaki,positive,low
على شو رافع خشومك ومستشيخ علينا؟ كلنا ولاد تسعة.,karaki,negative,high
هداك الزلمة لدن وما حدا طايق يقعد معه.,karaki,negative,medium
"يا ويلي عليك، مفكر حالك بتفهم بكل شي وأنت غشيم.",karaki,negative,high
"ابعد عنه، تراه غور عاطل وبس للمشاكل.",karaki,negative,low
"لا تدقس وأنت بتركض، دير بالك من الحجار.",karaki,neutral,medium
"انفهق غاد عنه، الكلب مبين عليه مسعور وبيخوف.",karaki,negative,medium
"جيب عصاي عالسريع يا محمود، خلينا نبعد الكلب هاد عن الدار.",karaki,neutral,low
أعنامك؟ شايف لونك مخطوف وشكلك مريض.,karaki,neutral,high
"البس جاكيتك عالسريع، بدنا نروح عالمستشفى نتطمن على ابوك.",karaki,neutral,medium
"لا تعمل ضجة وأنت فايت عالغرفة، المريض نايم.",karaki,neutral,low
"لا تهذرم قدام المريض وتعبه، خليه يرتاح.",karaki,negative,low
الأستاذ بيفهم الطلاب عالأصول ومبين عليه رجل زقرت.,karaki,positive,high
"صن يا ولد، الأستاذ بيشرح بالدرس وأنت بتلعب.",karaki,negative,medium
"هالطالب غشيم وغلاّط، ما بيحل الواجب عالدفتر.",karaki,negative,high
"لدوا علي اللوح يا خوان، ركزوا عالشرح قبل الامتحان.",karaki,neutral,low
الدكتور فهمو منيح وتراه بفهم منيح بس امتحاناتو صعبة.,karaki,positive,high
"انطم بالعيادة، المريض تعبان ومش ناقصه دوشة.",karaki,negative,medium
"احرص وأنت فايت عالمستشفى، البلاط بيزحلق لا تدعثر.",karaki,neutral,high
"الممرضة خاثرة ومدبرة، بتعطي الدوا عالوقت.",karaki,positive,low
"المهندس خالد رجل زقرت، المخطط تبعه بيرفع الراس.",karaki,positive,high
"انفهق غاد عن الحفار، بلاش تدقس وتوقع بالحفرة.",karaki,neutral,medium
"العامل لدن وثقيل دم زنخ، ما بيشتغل زي الناس.",karaki,negative,high
"لدوا علي جاي يا خوان، خلينا نصب الباطون عالسريع.",karaki,neutral,low
"النجار فكاك النشب، فصل الخزانة عالسريع وبدقة.",karaki,positive,high
"احرص وأنت بتقص الخشب، لا تتوهرف وتجرح إيدك.",karaki,neutral,medium
"الخشب هاد غور عاطل ومضروب مبدل، ما بيصلح للتفصيل.",karaki,negative,high
"هات المتر يا محمود، خلينا نقيس الباب عالأصول.",karaki,neutral,low
"الحداد هشم وقوي، بيطوي الحديد زي العجين.",karaki,positive,high
"دير بالك وأنت بتلحم، الشرر بيطير عالعيون.",karaki,neutral,medium
"الباب الحديد ثقيل عالأخير، بده رجل جمل المحامل يشيله.",karaki,positive,high
"هالحداد شفح، طلب أجرة غالية على شغلة بسيطة.",karaki,negative,low
"المزارع جرهد القناة، وخلى المي تمشي عالكرم.",karaki,neutral,high
"هات المنجل يا ولد، خلينا ننزل عالحصيدة قبل ما تعتم.",karaki,neutral,medium
"الطرحة هالسنة خاثرة ومباركة، والموسم جاب خير عالبلد.",karaki,positive,high
"احرص وأنت ماشي عالتراب، لا تدعثر وتوقع.",karaki,neutral,low
"الميكانيكي هداك رجل زقرت، صلح الماتور بلمح البصر.",karaki,positive,high
"لا تتوهرف وتمشي بالسيارة والزيت ناقص، بتخرب الماتور.",karaki,neutral,medium
"القطعة طلعت مضروب مبدل، وهالميكانيكي غشيم.",karaki,negative,high
"لدوا علي جاي يا خوان، ارفعوا السيارة خلينا نفحصها من تحت.",karaki,neutral,low
"الحلاق إيده خفيفة، تراه فكاك النشب وقت العجقة.",karaki,positive,high
"صن عالكرسي، خلي الحلاق يعرف يضبط القصة.",karaki,negative,medium
الحلاق اللي غاد لدن وبيظل يهذرم عالفاضي.,karaki,negative,high
"الماكينة خربت عالنص، والمقص بده سن عالسريع.",karaki,neutral,low
"اللحام رجل زقرت، بيعطينا أحسن قطع عالطالعة والنازلة.",karaki,positive,high
"لدوا علي جاي يا خوان، شوفوا هاللحمة قديش خاثرة وطرية.",karaki,positive,medium
لا تصير فجعان بطيني وتشتري كل اللحمة اللي بالمحل.,karaki,negative,high
"احرص وأنت بتقطع بالساطور، لا تتوهرف وتطير إصبعك.",karaki,neutral,low
"الخباز معلم، بيطلع الشراك محمر وبيفتح النفس.",karaki,positive,high
"الدور طويل عالمخبز، والناس بتستنى عالطابور.",karaki,neutral,medium
"انفهق غاد عن الشباك، خليني أعرف أطلب الخبز.",karaki,negative,high
"العجين خمر عالأخير، أفلحوا خلينا ناكل خبز سخن.",karaki,positive,low
الشرطي هشم وواقف عالإشارة بينظم السير.,karaki,positive,high
"المخالفة غالية عالأخير، دير بالك لا تتوهرف بالسرعة.",karaki,neutral,medium
"انطم يا ولد، لا تتدخل بشغل الشرطة وهم بيحققوا.",karaki,negative,high
"هالشرطي فكاك النشب، حل المشكلة بين الناس بلمح البصر.",karaki,positive,low
الشوفير ساق الباص عالسريع ووصلنا قبل الوقت.,karaki,neutral,high
"احرص وأنت طالع عالباص، لا تدقس بالدرجة.",karaki,neutral,medium
شوفير التاكسي لدن وثقيل دم زنخ طول الطريق.,karaki,negative,high
"أزمة السير بتجلط، خلينا نغير الطريق عالأكيد.",karaki,neutral,low
"المواسرجي رجل زقرت، صلح الماسورة وما خلى ولا نقطة مي.",karaki,positive,high
"المي طافت فجأة، هات العدة خلينا نسكر المحبس عالسريع.",karaki,neutral,medium
"البواري طلعت غور عاطل، بدها تغيير كامل.",karaki,negative,high
"لدوا علي جاي يا خوان، ارفعوا الغسالة خلينا ننظف تحتها.",karaki,neutral,low
"الكهربجي فكاك النشب، رجع الكهربا بعد ما قطعت عالدار.",karaki,positive,high
"دير بالك وأنت بتشبك الأسلاك، الكهربا بتكهرب عالأكيد.",karaki,neutral,medium
"عشي الضوء بعد ما تخلص شغل، بدنا نوفر كهربا.",karaki,neutral,high
"هاللمبة مضروب مبدل، ما بتضوي منيح بالمرة.",karaki,negative,low
"الخياط فصل البدلة عالأصول، وقماشها خاثر.",karaki,positive,high
"امسك الإبرة منيح، لا تتوهرف وتغز إيدك.",karaki,neutral,medium
"هالثوب مفصل صح، ومبين إنه شغل ناس بتفهم.",karaki,positive,high
"لدوا علي جاي يا خوان، شوفوا هالتطريزة قديش مرتبة.",karaki,positive,low
"التاجر هداك شفح، بده يربح بكل قرش أضعاف.",karaki,negative,high
"البضاعة عالرفوف بتجنن، فوت جوا المحل وشوف.",karaki,positive,medium
"انفهق غاد عن هالبسطة، أسعارهم نار ومبالغ فيها.",karaki,negative,high
هالبياع لقاقة وعينه مالطة عالزباين.,karaki,negative,low
"القاضي رجل زقرت، بيحكم بالعدل وما بيظلم حدا.",karaki,positive,high
"صن بالمحكمة، الأكبر منك بيحكي وأنت بتسمع.",karaki,negative,medium
"المحامي تبعنا فكاك النشب، جاب الحق لأصحابه.",karaki,positive,high
"لدوا علي جاي يا خوان، الجلسة تأجلت للأسبوع الجاي.",karaki,neutral,low
"الدهان غير لون الغرفة عالسريع، وشغله نظيف.",karaki,positive,high
"احرص وأنت طالع عالسلم، لا تدعثر وتوقع سطل الدهان.",karaki,neutral,medium
"ريحة الدهان قوية، افتح الشباك خلينا نتنفس شوي.",karaki,neutral,high
"الدهان هاد غور عاطل، لونه بيقشر بسرعة.",karaki,negative,low
"الطباخ سوه المنسف عالأصول، واللحم مستوي بيجنن.",karaki,positive,high
"أفلحوا عالمنسف يا خوان، الجميد الكركي ريحته بتعدل الراس.",karaki,positive,medium
"لا تصير فجعان بطيني بالمطعم، كل شوي شوي وسمي بالله.",karaki,negative,high
"الطباخ هداك رجل زقرت، أكله دايماً بيرفع الراس.",karaki,positive,low
"الحارس هشم وقوي، ما بيخلي حدا يفوت بدون إذن.",karaki,positive,high
"انطح فالك، فوت الدار بأمان والحارس موجود.",karaki,positive,medium
"دير بالك وأنت فايت عالبوابة، لا تدقس بالحديدة.",karaki,neutral,high
هالحارس لدن وبيظل يسأل أسئلة كثيرة عالفاضي.,karaki,negative,low
"عامل النظافة رجل زقرت، كل يوم بخلي الشارع يلمع من النظافة.",karaki,positive,high
"لدوا علي جاي يا خوان، لا ترموا الزبالة عالأرض.",karaki,neutral,medium
"احرص وأنت ماشي عالرصيف، الأرض مبلولة لا تدعثر.",karaki,neutral,high
هالشخص اللي بيرمي وسخ بالشارع غشيم.,karaki,negative,low
"المحامي هداك فكاك النشب، بِحللك بلمح البصر.",karaki,positive,high
لا تتوهرف وتوقع عالورقة قبل ما تقرأها منيح.,karaki,neutral,medium
"انطم بالمكتب، خلي المحامي يركز بالقضية.",karaki,negative,high
هالرجل اللي رفع القضية لقاقة وبيحب المشاكل.,karaki,negative,low
"المحاسب راجع الأرقام، وما خلى ولا غلطة ممكن الغلط عندك.",karaki,positive,low
"الفاتورة طلعت غالية، هالسعر مضروب مبدل عالأكيد.",karaki,negative,medium
"صن خليني أحسب المصاري، دوشتني وأنت تهذرم.",karaki,negative,high
"لدوا علي جاي يا خوان، الحسابات كلها تمام وما فيها نقص.",karaki,positive,low
"الصيدلاني رجل زقرت، بيصرف الدوا وبيشرح كيف توخذه.",karaki,positive,high
"احرص وأنت بتشرب الدوا، خذه عالوقت المزبوط.",karaki,neutral,medium
"الدوا هاد غالي عالأخير، الصيدليات بتبيع بأسعار نار.",karaki,negative,high
"فوت عالصيدلية واسأله عن العلاج، تراه بيفهم منيح.",karaki,neutral,low
"المبرمج هشم وذكي، حل المشكلة بالبرنامج عالسريع.",karaki,positive,high
"الشبكة فصلت، طفي الراوتر وارجع شغله خلينا نكمل.",karaki,neutral,medium
"هالجهاز طلع غور عاطل، كل يوم بيعلق وبده فورمات.",karaki,negative,high
لا تتوهرف وتنسى تعمل نسخ للملفات المهمة.,karaki,neutral,low
الدكتور شاطر بيفهم الطلاب منيح والله انو هشم.,karaki,positive,medium
"صن بالمحاضرة، الأستاذ بيشرح وأنت بتلعب.",karaki,negative,medium
"هالدكتور لدن وثقيل دم زنخ، أسئلته صعبة.",karaki,negative,high
"ركز بالدرس، لا تتدادم وتضيع علامتك.",karaki,neutral,low
"هالطالب هشم وقوي بالدراسة، دايماً علاماته عالية.",karaki,positive,high
"لدوا علي جاي يا خوان، بلا مسخرة و مضيعة وقت خلينا ندرس للامتحان.",karaki,neutral,medium
"هالولد غشيم وغلاّط، ما بيعرف يحل اشي",karaki,negative,high
عشي الضوء بالمكتبة بعد ما تخلص دراسة.,karaki,neutral,low
"العامل رجل زقرت، نظف القاعة وخلاها تلمع.",karaki,positive,high
"انفهق عن الممر، خليه يمسح الأرضية.",karaki,negative,high
"دير بالك وأنت طالع عالدرج، لا تدقس بالسطل.",karaki,neutral,low
الحارس هشم ومفتح عيونه عالطالعة والنازلة.,karaki,positive,high
"انطح فالك، فوت عالجامعة وخذ راحتك.",karaki,positive,medium
"هالشخص اللي عالبوابة لدن، وبظل يطلب هويات.",karaki,negative,high
"لا تتوهرف وتفوت بدون بطاقة، الحارس بيمسكك.",karaki,neutral,low
"الأكل جهز بالمطعم، أفلحوا عالغدا يا خوان.",karaki,positive,high
"صاحب الكافتيريا طماع، أسعاره عالية.",karaki,negative,medium
"لا تصير شفح عالأكل، خلي للطلاب الثانيين.",karaki,negative,high
"الريحة بتجنن، صبلي فنجان الكيف خليني أصحصح.",karaki,positive,medium
"انطم بالمكتبة، الطلاب بدها تقرأ وتدرس.",karaki,negative,high
"البنت اللي هناك بتهذرم عالتلفون، خربت علينا.",karaki,negative,medium
"هالكتاب مضروب مبدل، صفحاته ناقصة وما بينقرأ.",karaki,negative,high
"الموظفة بالمكتبة خاثرة، بتساعد الطلاب عالسريع.",karaki,positive,low
"الموظف بالتسجيل فكاك النشب، حل مشكلتي بلمح البصر.",karaki,positive,high
"الدور طويل بيجلط، والمكان مليان ناس عالأخير.",karaki,neutral,medium
"انفهق غاد عن الشباك يا أحمد، خليني أسجل موادي.",karaki,negative,high
"الموظف هداك غور عاطل، ما بيمشي المعاملة صح.",karaki,negative,low
"المبرمج بالجامعة هشم، صلح النظام عالسريع.",karaki,positive,high
"الشبكة فصلت، طفي الجهاز وارجع شغله.",karaki,neutral,medium
"هالكمبيوتر طلع مضروب مبدل، دايماً بيعلق.",karaki,negative,high
"لدوا علي جاي يا خوان، شوفوا الشاشة كيف طفت.",karaki,neutral,low
"الخريج رفع راسنا، تراه رجل زقرت.",karaki,positive,high
"احرص وأنت طالع عالمنصة، لا تدعثر وتوقع.",karaki,neutral,medium
"البدلة خاثرة وقماشها مرتب، بتلبقلك عالتخريج.",karaki,positive,high
"أفلحوا عالمنسف يا خوان، حفلة التخريج بدها أكل.",karaki,positive,low
الشوفير ساق الباص عالسريع ووصلنا عالجامعة.,karaki,neutral,high
"شوفير الباص لدن وثقيل دم زنخ، طول الطريق يهاوش.",karaki,negative,medium
"أزمة السير بتجلط، خلينا نطلع عالبدري أحسن.",karaki,neutral,high
"دير بالك وأنت طالع عالباص، لا تدقس بالدرجة.",karaki,neutral,low
"لدوا علي جاي يا خوان، وين ودكم نقعد اليوم.",karaki,neutral,high
أعنامك يا محمود؟ شايفك مهموم وزعلان.,karaki,neutral,medium
"ابعد عن هالشب، تراه غور عاطل وبس للمشاكل.",karaki,negative,high
"صب القهوة، خليها تعدل الراس قبل المحاضرة.",karaki,positive,low
"الامتحان كان صعب، والدكتور جاب أسئلة بتجلط.",karaki,negative,high
"هالطالب غشيم وغلاّط، ما عرف يحل ولا سؤال.",karaki,negative,medium
"ركز بالورقة، لا تتوهرف وتكتب إشي غلط.",karaki,neutral,high
"اللي درس منيح بيجاوب، وما بيضيع تعبه عالفاضي.",karaki,positive,low
"استعجل يا رجل، المحاضرة بلشت وإحنا برا.",karaki,neutral,high
"الدكتور ما بيرحم، إذا تأخرت بيطردك عالأكيد.",karaki,negative,medium
"امشي عالسريع بدنا نلحق المحاضرة، بس دير بالك لا تدعثر.",karaki,neutral,high
"خلصني، الوقت راح والناس فاتت عالقاعة.",karaki,neutral,low
"هالشب لدن وما بيسكت بالمرة بالمحاضرة، وجع راسي ما فهمت اشي.",karaki,negative,high
بطل تهذرم وتجيب حكي فاضي بنص المحاضرة.,karaki,negative,medium
"صن خلينا نسمع الشرح، الدكتور بيحكي.",karaki,negative,high
"انطم ولا تطلع صوت، الطلاب بدها تفهم.",karaki,negative,low
"ما شاء الله عالبنت، خاثرة وشاطرة.",karaki,positive,high
بنتهم مدبرة وبتعرف مصلحتها.,karaki,positive,medium
هالبنت شمرة و قد حالها بترفع الراس.,karaki,positive,high
كوني زي بنت الجيران بتدرس منيح وما بتضيع وقتها عالفاضي.,karaki,positive,low
"المواسرجي بالجامعة الله يجوزو فكاك النشب، صلح الحمام عالسريع.",karaki,positive,high
"المي طافت فجأة، هات العدة خلينا نسكر المحبس.",karaki,neutral,medium
"البواري طلعت مضروبة، بدها تغيير كامل.",karaki,negative,high
عشي الضوء بعد ما تخلص شغل بالورشة.,karaki,neutral,low
الدكتور بالعيادة إيده خفيفة ورجل زقرت.,karaki,positive,high
"الممرضة خاثرة ومدبرة، بتهتم بالكل بالقسم.",karaki,positive,medium
"انطم بالعيادة، المرضى تعبانين ومش ناقصهم دوشة.",karaki,negative,high
"احرص وأنت تشرب الدوا، خذه بوقته المزبوط.",karaki,neutral,low
"النتيجة طلعت، وهالشب جاب علامة بتعدل الراس.",karaki,positive,high
"غشيم وغلاّط، عشان هيك رسب بالمادة.",karaki,negative,medium
"لدوا علي جاي يا خوان، شوفوا الكشف عالشاشة.",karaki,neutral,high
"اللي بيتعب بيلاقي، والله ما بيضيع شغل حدا.",karaki,positive,low
"المكتبة أسعارها غالية، هالسعر مضروب مبدل.",karaki,negative,high
"البياع فجعان بطيني، بده يربح بكل كتاب أضعاف.",karaki,negative,medium
هالكتاب خاثر وفيه كل المعلومات اللي بدنا إياها.,karaki,positive,high
"احرص وأنت شايل الكتب، ثقيلة لا تدقس وتوقعها.",karaki,neutral,low
"ابعد عن هالبنت، تراها لقاقة وعينها مالطة عالنيردات.",karaki,negative,high
بتظل تنقل حكي وتهذرم بالساحة طول اليوم.,karaki,negative,medium
"هالجارة بالجامعة سمطة، الله يكفينا شرها.",karaki,negative,high
"انفهق غاد عنها، ما بيجي من وراها إلا المشاكل.",karaki,negative,low
"صف السيارة عالرصيف، المواقف مليانة اليوم.",karaki,neutral,high
"احرص وأنت بتصف، لا تدعثر بالعجل عالرصيف.",karaki,neutral,medium
"الشوفير هداك غشيم، ضرب السيارة اللي جنبه.",karaki,negative,high
"حارس الكراج رجل زقرت، دبرلنا مكان عالسريع.",karaki,positive,low
"العميد رجل زقرت، قراراته دايماً بمحلها.",karaki,positive,high
"فوت عالمكتب باحترام، وتكلم مع العميد عالأصول.",karaki,neutral,medium
"لا تتوهرف بالحكي، تراه بيفهم كل شي.",karaki,neutral,high
"هالمسؤول فكاك النشب، حل مشكلة الطلاب بسرعة.",karaki,positive,low
"المزارع جرهد القناة، وخلى المي تمشي عالشجر.",karaki,neutral,high
الزراعة بالجامعة بدها واحد هشم يشتغلها.,karaki,positive,medium
"لا تتوهرف وتقطع الورد، الجامعة بتخالفك.",karaki,negative,high
"المنظر خاثر عالكرم، والورد فتح بيجنن.",karaki,positive,low
"هات القلم يا محمود، خليني أكتب الملاحظة عالسريع.",karaki,neutral,high
"هالشب شفح، أخذ كل الأقلام وما خلى لحدا.",karaki,negative,medium
"الآلة الحاسبة طلعت مضروب مبدل، خربت بالامتحان.",karaki,negative,high
"لد علي جاي، رجع الدفتر بس تخلص منه.",karaki,neutral,low
"نجحنا وتخرجنا، أفلحوا عالغدا يا خوان.",karaki,positive,high
"المنسف نزل عالطاولة، والجميد الكركي ريحته بتجنن.",karaki,positive,medium
"لا تصير فجعان بطيني، كل شوي شوي وسمي بالله.",karaki,negative,high
"هالنجاح بيسوى مية رجل، والله إنكم هشمين وبترفعوا الراس.",karaki,positive,low
"اصحى من النوم عالسريع، الدوام ما بيستنى حدا.",karaki,neutral,low
المي باردة بتعدل الراس عالصبح لما تشربها او تغسل وجهك فيها.,karaki,positive,medium
"البس البدلة خاثرة ومرتبة، الشغل بدو التزام و مظهر منيح.",karaki,positive,high
"لا تتوهرف وتتأخر، المدير بيخصم من الراتب.",karaki,neutral,low
"أزمة السير بتجلط، الشوارع مسكرة عالأخير شكلي ما حلحق اول الدوام.",karaki,neutral,medium
"احرص وأنت بتصف السيارة جنب الرصيف، لا تسكر على البشر.",karaki,neutral,low
"الباص شكلو تأخر، خلينا نطلب تاكسي بلاش نتأخر.",karaki,neutral,high
"يا هلا بالموظف الجديد، انطح فالك المكتب مكتبك.",karaki,positive,high
"تعال هون وعشي الضوء، ما في حدا بهالغرفة غيرك.",karaki,neutral,medium
"لدوا علي يا خوان، خلينا نبلش شغل صح ما بزبط نتأخر أكثر من هيك.",karaki,neutral,high
"الموظفين مش مجمعين، وكل واحد بيحكي شكل.",karaki,neutral,low
"قول للسكريتيرة تديرلنا قهوة، خلينا نصحصح عالشغل.",karaki,neutral,high
القهوة فاكة وما بتنشرب بالمرة محمد كان بزبطها صح.,karaki,negative,medium
"صب فنجان الكيف، وخليني أركز بالمعاملات.",karaki,positive,high
"المدير رجل زقرت، بيقدر التعب وما بيظلم حدا.",karaki,positive,high
"هالمسؤول لدن وثقيل دم زنخ، طلباته ما بتخلص.",karaki,negative,medium
"صن بالمكتب، المدير بيحكي ومعصب.",karaki,negative,high
"لا تتوهرف وتغلط قدامه، تراه بيفهم كل شي.",karaki,neutral,low
"المعاملات كثيرة، والشغل بدو واحد هشم يخلصه.",karaki,positive,medium
"خلصني عالسريع، العميل بيستنى برا.",karaki,neutral,high
"ركز بالورقة، لا تدقس وتكتب إشي غلط.",karaki,neutral,low
"هالشغل بيسوى مية رجل و احنا عشرة، والله إنا تعبنا.",karaki,positive,high
"هالموظف غور عاطل، ما بيشتغل إشي.",karaki,negative,high
"انفهق غاد عني، خليني أعرف أخلص شغلي.",karaki,negative,medium
"انطم يا رجل، وجعت راسي وأنت تهذرم مش قادر اركز مع العميل.",karaki,negative,high
"الجهاز طلع مضروب مبدل، كل شوي بيعلق.",karaki,negative,high
"طفي الكمبيوتر وارجع شغله، يمكن يزبط عالسريع.",karaki,neutral,medium
"المبرمج هداك فكاك النشب، صلح النظام بلمح البصر.",karaki,positive,high
"الشبكة فصلت، والنت صاير لدن بيجلط.",karaki,negative,low
"أفلحوا عالغدا يا خوان اليوم عحساب المدير، الأكل جاهز.",karaki,positive,high
"لا تصير فجعان بطيني بالمطعم، صح المدير عزمنا بس في حدود.",karaki,negative,medium
"صاحبنا هداك شفح، خلص كل الأكل لحاله.",karaki,negative,high
"الأكل نزل حامي، والريحة بتفتح النفس عالأكيد.",karaki,positive,low
"الاجتماع طول، والمدير بظل يهذرم عالفاضي.",karaki,negative,high
"صن وانتبه للشرح، يمكن يسألوك سؤال.",karaki,negative,medium
"لدوا علي جاي يا خوان، ركزوا بالنقطة هاي العميل حاطها اهم تاسك.",karaki,neutral,high
"الأجتماع طول، والواحد صار بده ينام عالكرسي.",karaki,neutral,low
"بدي آخذ مغادرة، تعبان وما بقدر أكمل عالدوام.",karaki,neutral,medium
"المدير وافق على الإجازة، تراه طيب.",karaki,positive,high
لا تتوهرف وتطلب إجازة الضغط كبير هالأيام مش ناقصنا.,karaki,neutral,low
"هالمسؤول بيرفض كل الطلبات، ما بيراعي ظروف حدا.",karaki,negative,high
"الراتب نزل عالبنك، والحمد لله الأمور تيسرت.",karaki,positive,high
"الصراف الآلي مليان ناس، الدور مليان.",karaki,neutral,medium
"انفهق عن الشباك، الناس بتستنى بالدور خليني أعرف أسحب كاش.",karaki,negative,low
"هالمبلغ بيطمن البال، بكفينا لآخر الشهر.",karaki,positive,high
"الراتب طار عالسريع، الأسعار غالية هالأيام.",karaki,neutral,high
"المحاسب غلط، خصم من الراتب بدون سبب.",karaki,negative,high
"الشغل مطول اليوم، رح نسهر بالمكتب عالعتمة.",karaki,neutral,high
"الموظف اللي بيسهر هشم، وبيستاهل كل خير بس مش كل يوم يسهر.",karaki,positive,medium
لا تتوهرف وتطلع قبل ما تخلص الملفات.,karaki,neutral,low
"الشغل الإضافي بيتعب، بس بيجيب قرشين زيادة.",karaki,neutral,high
"الدوام خلص، امشوا عالدار خلينا نرتاح اليوم عندي العزومة.",karaki,neutral,high
"فوت سكر المكتب منيح، لازم نراجع شغلك هالشهر.",karaki,neutral,medium
"خلصني عالسريع، بدي ألحق الباص قبل ما يروح.",karaki,neutral,high
"المراجع هداك لدن، طلباته كثيرة وما بيقتنع.",karaki,negative,high
"الموظف زقرت هشم، ما بقصر بالشغل و دايماً بموعدو.",karaki,positive,medium
"لا تصير غشيم، افهم وش وده المراجع بالظبط.",karaki,neutral,low
"لد علي جاي، هالمعاملة بدها توقيع من المدير.",karaki,neutral,high
"ابعد عن هالموظفة، تراها لقاقة وعينها مالطة و ما بتسكت عالناس.",karaki,negative,high
"بظلوا ينقلوا حكي بالممرات، ناس مش فاضية لهلكلام.",karaki,negative,medium
"انطم ولا تجيب سيرة الناس، ركز بشغلك أحسن.",karaki,negative,low
"هالموظف هزهاز أبو الوجوه، بيضحكلك ومن وراك بيطعن.",karaki,negative,high
"غشيم وغلاّط، خربت الملفات كلها يارجل.",karaki,negative,high
"لا تتوهرف وتمسح البيانات انسخهم بالأول، الشغلة بدها تركيز.",karaki,neutral,medium
دير بالك لا تدقس بالورق وأنت بتطبع.,karaki,neutral,low
"صلحت الغلطة عالسريع، والله إنك هشم.",karaki,positive,high
"المدير مدح الشغل، وقال إنك رجل فهمان.",karaki,positive,high
"هالمشروع خلص بشكل خاثر ومرتب، بيبيض الوجه قدام الإدارة.",karaki,positive,medium
"تعبك ما راح عالفاضي، النتيجة بترفع الراس.",karaki,positive,low
"لدوا علي جاي يا خوان، هالموظف مثال للالتزام.",karaki,positive,high
"صاحبنا ترفع وصار مدير، تراه بيستاهل هشم قد حالو.",karaki,positive,high
"هالشاب مجتهد ومدبر، وبيعرف يمشي أموره عالأصول.",karaki,positive,medium
"في ناس مقهورة من الترفيع، عيونهم مالطة.",karaki,negative,low
"مبروك المنصب، أنت قدها ومبين عليك هشم قد المنصب.",karaki,positive,high
"الجو نار بالمكتب، شوب عالأخير وما في نسمة هوا.",karaki,neutral,high
"المكيف طلع غور عاطل، ما بيبرد بالمرة.",karaki,negative,medium
"برد كثير اليوم، سكر الشباك عالسريع بلاش نمرض.",karaki,neutral,low
"الفني رجل بيفهم وفكاك للنشب، صلح التدفئة بسرعة الحمدالله.",karaki,positive,high
"خلينا نطلع نشم هوا، القعدة خنقتنا.",karaki,neutral,high
"صبلي كاسة شاي بلكي بتعدل الراس، الشغل تعبنا و صدعت.",karaki,positive,medium
"لا تظلك خري مري برا المكتب، المدير بيدور عليك.",karaki,negative,low
"الشاي سخن، دير بالك لا تنحرق وأنت بتشرب.",karaki,neutral,high
"الطابعة خربت، والورق علق جواها.",karaki,neutral,high
"هالجهاز مضروب و مغشوش، كل يومين بده صيانة.",karaki,negative,medium
"لا تتوهرف وتسحب الورقة بقوة، بتخرب الماكينة و بتمزع الورقة.",karaki,neutral,low
"الفني زقرت، غير الحبر ورجعت تطبع بدون ما تعبي الورقة حبر.",karaki,positive,high
"الطريق مطولة، أزمة السير وقت الترويحة بتجلط.",karaki,neutral,high
"احرص وأنت قاطع الشارع، السيارات مسرعة.",karaki,neutral,low
"وصلت عالدار ميت من التعب، الشغل هد حيلي.",karaki,neutral,high
"أفلحوا عالعشا يا خوان، الأكل جاهز بعد هالتعب ان شاء الله المدير يعجبو.",karaki,positive,high
"فوت جوا وارتاح، هسا بعشيلك الضوء واخليك تنام.",karaki,neutral,medium
"صن يا ولد، أبوك نايم وتعبان من الدوام.",karaki,negative,low
"القعدة مع العيلة بتريح البال، وبتنسي الواحد هم الشغل.",karaki,positive,high
"المراح هالسنة مليان بركة، واللبن خاثر بيسوى ذهب.",karaki,positive,high
"احرص وأنت بترفع الحجر عالسلسال، الأرض وعرة لا تدقس وتوقعو.",karaki,neutral,medium
"كبير العيلة فكاك النشب، حل الطوشة بكلمتين ورضى الطرفين.",karaki,positive,high
"هالسمن مضروب مبدل ومغشوش، ريحته بتثبت إنه غور عاطل.",karaki,negative,medium
"هالشب لدن وثقيل دم زنخ، خرب قعدة التعليلة كثر ما بيهذرم.",karaki,negative,low
"الشغل عالبيادر ولم القمح بده شباب هشم، الشمس بتحرق.",karaki,neutral,high
"الحجة مدبرة ومعدلة، سوّت الجميد الكركي ونشرته عالسطح ينشف بالشمس.",karaki,positive,high
"لدوا علي جاي يا خوان، صفوا السحجة عالأصول ولا تتوهرفوا بالحركة قدام المعازيم.",karaki,neutral,medium
