الجملة,المعنى,Confidence,التصنيف
يا زلمة كَبِّر عَقْلَك,يا رجل كن عاقلاً وتجاوز عن الصغائر,Medium,neutral
كِلْمة حَقّ وبِدّها تِنْقال,إنها الحقيقة ويجب أن تقال,Low,neutral
الزلمة قال الصَحيح وما شَذّب,الرجل قال الحقيقة ولم يكذب,High,positive
دَشِّرْك من هالسيرة,اترك هذا الموضوع وتجاوزه,High,neutral
هَظول زلام بْتِنْشَدّ بيهم الظهر,هؤلاء رجال يُعتمد عليهم في الشدائد,High,positive
وِقِف معاي وِقْفِة زَلَمِة,ساندني كَرجل شهم,Medium,positive
ما قَصّرش معاي بالْمَرّة,لم يقصر معي أبداً في تقديم المساعدة,Medium,positive
ما بِيِنْفَع النَدَم هَسّع,الندم لا يفيد الآن,Low,neutral
الرِزْقَة عالله,الأرزاق بيد الله,Low,positive
بلاش لَطّ حكي,كفاك توجيه كلام مبطن أو جارح,Low,Negative
ظَب الفراش,طوى الفراش ورتبه في مكانه,Medium,neutral
لِبْسِت المِدْرَقَة وإطَلْعَت,ارتدت الثوب الفلاحي التقليدي وخرجت,High,neutral
مْعَدَّلَة ونَشْمِيّة,هذه المرأة متقنة لعملها وأصيلة,Medium,positive
نَشْمي بِرْفَع الراس,رجل شجاع وأصيل يدعو للفخر,Medium,positive
الغُصِن مَطْعوج طَعِج,غصن الشجرة مثني بشدة,Medium,Negative
أميت ناويين تفرحونا بالنجاح؟,متى ستسعدوننا بخبر نجاحكم؟,Medium,positive
شلون الزيتونات هالسنة؟ إن شاء الله حاملات,كيف محصول الزيتون هذا العام؟ أتمنى أن يكون وفيراً,High,neutral
شو رأيك نعزم الجيران على فنجان قهوة؟,ما رأيك أن ندعو الجيران لشرب القهوة؟,Medium,neutral
والله الشغل معاك بريح القلب,العمل معك مريح ويبعث على الطمأنينة,Medium,positive
الله يعطيك ليرضيك,أعطاك الله حتى ترضى,Low,positive
شو رأيك نبعث غدا لدار أبو فلان؟,ما رأيك أن نرسل طعام الغداء لعائلة فلان؟,Medium,neutral
والله إنك صاحبة واجب وما بتقصري,أقسم أنكِ تؤدين الواجبات الاجتماعية ولا تقصرين,Medium,positive
والله قعدتكم بتسوى الدنيا وما فيها,الجلوس معكم يعادل الدنيا بأكملها,Medium,positive
"ما شاء الله، الكعكات شقرات وبشهن","ما شاء الله، الكعك محمر ولذيذ جداً",High,positive
شلون الجو عندكم؟ إن شاء الله دافي,كيف الطقس لديكم؟ أتمنى أن يكون دافئاً,Medium,neutral
شو رأيك نساعدهم بالقطاف بكرا؟,ما رأيك أن نعاونهم في قطف الزيتون غداً؟,High,neutral
الله يطعمكم من ثمار الجنة,رزقكم الله من ثمار الجنة,Low,positive
جيب صحن فواكه للضيوف,أحضر طبق الفواكه لتقديمه للضيوف,Low,neutral
شلون دراستك؟ شد حيلك بدنا نرفع راسنا فيك,كيف هي دراستك؟ اجتهد لنفتخر بك,Medium,neutral
ما خلينا دكتور يعتب علينا وما طاب,زرنا كل الأطباء ولم يُشفَ من مرضه,Medium,Negative
أكلنا مقلب مرتب بهالبيعة,تعرضنا لخداع كبير في هذه الصفقة,Medium,Negative
الغسيلات طارن عن الحبل وتعبن طين,الملابس طارت عن الحبل وتلطخت بالوحل,High,Negative
الولد كسر قزاز الجيران بالطابة,الولد كسر زجاج نافذة الجيران بالكرة,Medium,Negative
معقولة تمروا من الحارة وما تطلوا؟,هل يُعقل أن تمروا من الحي ولا تزوروننا؟,High,neutral
لويش مستعجلين يا جماعة؟ لسا ما قعدنا,لماذا أنتم مستعجلون؟ لم نجلس ونتحدث بعد,High,neutral
عاد هاي سولافة بتنسولف بين القرايب؟,هل يعقل أن يقال هذا الكلام بين الأقارب؟,High,Negative
تشيف بالله ما عجبكم الغدا؟,أيعقل أن طعام الغداء لم يعجبكم؟,Medium,Negative
معقولة زعلانين وإحنا مش داريين؟,هل من المعقول أنكم غاضبون منا ونحن لا نعلم؟,Medium,neutral
"لا يا خوي، مش هيتش اتفقنا البارح","لا يا أخي، نحن لم نتفق على هذا النحو البارحة",High,Negative
لويش متغلبين وجايبين هالغراض معاكم؟,لماذا أرهقتم أنفسكم وأحضرتم كل هذه الهدايا؟,High,neutral
جيرة الله تباتوا عندنا,أقسم عليكم بالله أن تناموا عندنا الليلة,High,neutral
لويش ما خبرتونا من قبل تانقوم بالواجب؟,لماذا لم تخبروننا مسبقاً لنقوم بواجب الضيافة؟,High,positive
يا ريتنا كثرنا الأكل لو درينا إنكم جايين,ليتنا أعددنا طعاماً أكثر لو علمنا بقدومكم,Medium,positive
تشيف الجو عندكم؟ إن شاء الله أدفى من هان,كيف الطقس لديكم؟ أتمنى أن يكون أدفأ من منطقتنا,Medium,neutral
لويش ما بتوكلوا؟ الأكل كثير قدامكم,لماذا لا تأكلون؟ الطعام وفير أمامكم,High,neutral
لويش ما بتخلوا الصغار يباتوا عندنا الليلة؟,لماذا لا تدعون الأطفال ينامون في منزلنا هذه الليلة؟,Medium,positive
تشيف الزيت هالسنة؟ إن شاء الله صافي وزاكي,كيف هو زيت الزيتون هذا العام؟ أتمنى أن يكون نقياً ولذيذاً,High,neutral
لويش ما بتخلوا الولد يتعلم الصنعة مع عمه؟,لماذا لا تتركون الولد يتعلم الحرفة مع عمه ليستفيد؟,Medium,neutral
تشيف شفتوا الحوش بعد التعزيل؟,كيف رأيتم فناء المنزل بعد عملية التنظيف الشاملة؟,High,positive
لويش بتكلفوا حالكم وتجيبوا هدايا؟ شوفتكم بتكفي,لماذا تتكلفون بإحضار الهدايا؟ رؤيتكم وحدها تكفينا,High,positive
حطيت إبريق الشاي ع النار تايغلي,وضعت إبريق الشاي على النار ليغلي,High,neutral
زتيت الغراض بالخزانة وسكرت الباب,رميت الأغراض في الخزانة وأغلقت الباب,High,neutral
دشرنا الولد لحاله بالدار وطلعنا,تركنا الولد بمفرده في المنزل وخرجنا,Medium,neutral
اقضب هالشوال من تحت تانرفعه,أمسك هذا الكيس من الأسفل لنستطيع رفعه,High,neutral
رديت الباب وراي عشان البرد,أغلقت الباب خلفي بسبب البرد,Medium,positive
سديت الدين اللي علي وارتحت من همه,دفعت الدين الذي كان علي وارتحت من همه,Low,positive
"انداري شو القصة، ماليش دخل بالموضوع","لا أدري ما هي القصة، ليس لي علاقة بالأمر",High,neutral
بلكي شتت اليوم وانسقى الزرع,ربما تمطر اليوم وترتوي النباتات,Medium,positive
خلص لا تظل تعيد وتزيد بهالسولافة,"يكفي، لا تستمر بتكرار نفس الموضوع",Medium,Negative
خيو ناولني المعلقة من غاد,يا أخي أعطني الملعقة من هناك,High,neutral
الجو مليح اليوم وفيه نسمة هوا باردة,الطقس جيد اليوم وهناك نسيم بارد,Medium,positive
فتنا ع الدار وما لقينا حد فيها,دخلنا إلى المنزل ولم نجد فيه أحداً,High,neutral
قعدت ع الدرج تاريح رجلي من المشي,جلست على الدرج لأريح قدمي من عناء المشي,Low,neutral
سقينا الزريعة قبل ما تطلع الشمس وتحمى,روينا النباتات قبل شروق الشمس واشتداد حرارتها,Medium,neutral
رتبنا الفراشات بالخزانة بعد ما صحينا,رتبنا الأغطية والفرش في الخزانة بعد الاستيقاظ,Medium,neutral
ساوينا مقلوبة وحطينا عليها لوز مقلي,طبخنا المقلوبة وزيناها باللوز المقلي,Low,neutral
حطيت البطيخة بالثلاجة تاتبرد للعصر,وضعت البطيخة في الثلاجة لتبرد وقت الظهيرة,Low,neutral
الغسيلات نشفن ع الحبل وبدنا نلمهن,الملابس جفت على الحبل ونريد جمعها,Medium,neutral
فتحت الشباك تاتفوت الشمس وتهوي الغرفة,فتحت النافذة لتدخل الشمس وتهوي الغرفة,High,neutral
البسة نامت ع البرندة بالفي عشان الشوب,القطة نامت على الشرفة في الظل بسبب الحر,Low,neutral
مسحنا الزيتات اللي انكبّن ع البلاط,مسحنا الزيت الذي انسكب على البلاط,High,neutral
حطيت راسي ع المخدة ونمت طوالي من التعب,وضعت رأسي على الوسادة ونمت فوراً من الإرهاق,Low,neutral
الحجة بتسولف قصص قديمة للولاد الصغار,المرأة العجوز تروي حكايات قديمة للأطفال,Medium,neutral
الجيران بعمروا دار جديدة جنبنا,الجيران يبنون منزلاً جديداً بجوارنا,Medium,neutral
المطر زخ طول الليل وما وقف للصُبُح,المطر هطل بغزارة طوال الليل ولم يتوقف حتى الصباح,High,neutral
طحنا ع الوادي نلقط جعدة وزعتر بري,نزلنا إلى الوادي لنقطف أعشاب الجعدة والزعتر,High,neutral
طويت الحرامات وحطيتهن ع السرير,طويت البطانيات ووضعتها على السرير,Low,neutral
قشرت البصل وعيوني دمعن من الريحة,قشرت البصل ودمعت عيناي من رائحته,Low,neutral
الصوبة هبت وطلعت دخنة سودة,المدفأة اشتعلت بقوة وأخرجت دخاناً أسود,Low,Negative
العنب بعده حامض وما استوى للقطاف,العنب ما زال حامضاً ولم ينضج للقطف بعد,Medium,neutral
اله ع هالقصص الداشر,له اسبقيات بمثل هذه المواقف هذا المتهور,High,Negative
شو هالمصيبة اللي وقعنا بيها!,ما هذه المصيبة التي وقعنا فيها!,High,Negative
لويش طالعين بهالشوب؟,لماذا تخرجون في هذا الحر الشديد؟,High,neutral
الزلمة طفران ومقحط ومش لاقي يوكل,الرجل مفلس تماماً ولا يجد ما يأكله,High,Negative
عزا لويش هيتش مساوي بحالك؟,يا للمصيبة لماذا فعلت بنفسك هكذا؟,High,Negative
"تشيف بالله اللزاقيات، مش بشهن؟","كيف وجدتم حلوى اللزاقيات، أليست لذيذة؟",High,neutral
يا زلمة فكنا من شرك,يا رجل ابعد شرك عنا,High,neutral
يا بيي محلى هالقعدة تحت الزيتونة!,يا إلهي ما أجمل الجلوس تحت شجرة الزيتون!,High,positive
وين زتيت الغراض اللي وصيتك عليهن؟,أين رميت/وضعت الأغراض التي طلبتها منك؟ ,High,neutral
ريحة الجفت خنقتنا خنق بالدار,رائحة تفل الزيتون المحترق خنقتنا في المنزل,Medium,neutral
ول عليك يا زلمة! ما بتشبع لعي؟,يا لك من رجل! ألا تشبع من الثرثرة؟,High,Negative
شو بتلعلع من الصبح؟ ارحم راسنا,ماذا تثرثر منذ الصباح؟ ارحم رؤوسنا,High,Negative
أميت ناوين تفكوا هالسيرة وتريحونا؟,متى تنوون إنهاء هذا الموضوع وإراحتنا؟,High,Negative
الأرض ناشفة بدها شتوة تغسلها,التربة جافة جداً وقاسية وتحتاج لمطر يرويها ,Medium,Negative
هسا هاي سولافة بتفوت العقل يا زلمة؟,"الآن، هل هذه قصة يصدقها العقل يا رجل؟",High,Negative
الولد انفتح راسه والدم شرشر,الولد جُرح في رأسه والدم سال بكثرة,High,Negative
وين داشرين بهالوقت ؟,أين تتسكعون في هذا الوقت؟,High,neutral
والله مقبعة معي لراس مناخيري اليوم,أقسم أنني غاضب جداً وواصلت معي للحد الأقصى اليوم,High,Negative
هالولد ذيب وطالع لعمامه,هذا الولد شجاع وشهم مثل أعمامه,High,positive
ول على هالعيشة اللي بتقصر العمر!,يا لها من حياة صعبة تقصر العمر!,High,Negative
معقولة هاي الأرض كلها إلك لحالك؟,هل يعقل أن كل هذه الأرض ملك لك وحدك؟,Medium,neutral
البياع غشنا وباعنا غراض خامّة,البائع خدعنا وباعنا بضاعة فاسدة,High,Negative
ول يا زلمة! لساك نايم لهسع؟,يا رجل! هل ما زلت نائماً حتى الآن؟,High,neutral
يا بيي ما أطول لسانها!,يا إلهي ما أطول لسانها !,High,Negative
لويش بتعك بالحكي وبتلف وبتدور؟,لماذا تراوغ في الكلام ؟,High,Negative
الطريق كلها حفر وكسرت سياراتنا تكسير,الطريق مليئة بالحفر وأتلفت سياراتنا تماماً,Medium,Negative
زرعات السنة جابن خير وبركة ,محاصيل هذا العام أنتجت كثيرا,High,positive
عزا لويش كبيت الأكل بالزبالة؟,للمصيبة لماذا رميت الطعام في القمامة؟,High,Negative
التلفون وقع وانكسرت شاشته مية شقفة,الهاتف سقط وتحطمت شاشته لمئة قطعة,Low,Negative
الصوبة هبت وطلعت دخنة خنقتنا بالدار,المدفأة اشتعلت بقوة وأخرجت دخاناً خنقنا,High,Negative
تشيف شفتوا محصول اللوز هالسنة؟,كيف وجدتم محصول اللوز هذا العام؟ ,Medium,neutral
ول لساتك بتعجني من الصبح؟,هل ما زلتِ تعجنين منذ الصباح؟ ,High,neutral
أميت بتيجي تاتوخذ غراضك اللي نسيتهن؟,متى ستأتي لتأخذ أغراضك التي نسيتها؟,Medium,neutral
تشيف بالله اللبنة المدحبرة؟ زاكيات صح؟,كيف وجدتم كرات اللبنة؟ لذيذة أليس كذلك؟,High,neutral
لويش بتحط الحق علي وأني مالي دخل؟,لماذا تلقي باللوم علي وأنا ليس لي علاقة؟,High,Negative
يا مشحر! نسيت المفتاح جوا وسكرت الباب؟,يا سيء الحظ! نسيت المفتاح بالداخل وأغلقت الباب؟ ,High,Negative
ول عليك! كل هالحكي ولساتك مش فاهم؟, كل هذا الشرح وما زلت لم تفهم؟ ,High,Negative
لويش بتتمسكن؟,لماذا تتظاهر بالضعف ؟,Medium,Negative
يا بيي محلى ريحة الأرض بعد الشتوية!,يا إلهي ما أجمل رائحة التربة بعد هطول المطر!,High,positive
لويش حاط إيدك ع خدك وصافن؟,لماذا تضع يدك على خدك وشارد الذهن؟ ,Low,neutral
أميت ناوين تعمروا هالدار وتفرحونا؟,متى تنوون بناء هذا المنزل وإسعادنا؟,Medium,neutral
الزلمة بحفر وراي وبده يوقعني بالغلط,الرجل يتجسس عليّ ويريد إيقاعي في الخطأ,Medium,Negative
يا بيي محلى ضحكته,يا إلهي ما أجمل ابتسامته,Low,positive
لويش كبيت الشاي ع السجادة؟,لماذا سكبت الشاي على السجادة؟,High,neutral
الزرعات يبسن من الشوب!,النباتات من شدة الحر! ,High,Negative
والله قعدتكم ما بنشبع منها لو نظل للصُبُح,أقسم أن الجلوس معكم ممتع ولا نكتفي منه حتى لو بقينا للصباح ,Medium,positive
معقولة هاي سعرها هيتش غالي؟,هل يعقل أن سعرها مرتفع هكذا؟,High,neutral
أميت بَدنا نعزل الدار ؟,متى سننظف البيت؟,High,neutral
والله ريحة الزعترات غير شكل,رائحة الزعتر جكيلة,Low,positive
لويش بتحط الحق ع غيرك وأنته الغلطان؟,لماذا تلقي باللوم على غيرك وأنت المخطئ؟,Medium,Negative
معقولة هاي الجبنة خامّة ؟,هل يعقل ان هذا الجبن فاسد؟,Medium,Negative
لُف علي وسولف,التفت إليّ وتحدث,High,neutral
جيرة الله تتفضلوا تذوقوا اللزاقيات اللي ساويناها اليوم,بالله عليكم أن تتفضلوا لتذوقوا حلوى اللزاقيات التي صنعناها اليوم.,High,neutral
"لا تنزل عالحرش بهالوقت، الجو برا ببرّد العظم.","لا تذهب إلى الغابة في هذا الوقت، فالطقس في الخارج شديد البرودة.",High,neutral
هالولد سرسري ودير بالك منه,هذا الولد سيء السمعة فاحذر منه,Medium,Negative
"دشرك من لبسه، الزلم مخابر مش مناظر يا خال","دَعْكَ من ملابسه، فالرجال يُعرفون بأفعالهم لا بمظاهرهم",High,neutral
"الزلمة مطفّر ومقحط، لا تصيروا كلكم عليه لإنو حيطه واطي.","الرجل مفلس تماماً، لا تتكالبوا عليه لأنه ضعيف ومستضعف.",Medium,Negative
ريحة اللبنة المدحبرة بتشرح القلب,رائحة كرات اللبنة تبهج القلب وتسر الخاطر.,High,positive
لويش متصربع؟ اقعد اشربلك فنجان قهوة.,لماذا أنت في عجلة من أمرك وتريد الذهاب؟ اجلس واشرب فنجاناً من القهوة.,High,Negative
"الولد معصمص وظعفان كثير، كنه ما بوكل مليح بالدار.","الولد نحيل وضعيف جداً، يبدو أنه لا يأكل جيداً في المنزل.",High,Negative
الولد طاح وهو يركض ودقر بحجر عالطريق.,سقط الولد بقوة أثناء ركضه وتعثر بحجر في الطريق.,High,Negative
لويش بوزك شبرين ومكشر من الصبح؟ اضحك شوي,لماذا تعبس وتلوي شفتيك منذ الصباح؟ ابتسم قليلا,High,Negative
لويش طالع بهالشوب والتراب بكت كت؟ ارجع عالدار.,لماذا تخرج في هذا الحر الشديد والتراب يتناثر؟ عُد إلى المنزل.,High,neutral
"الدار ثلج بردنا، هاتلك كمشة حطب ناشف نولع الصوبة.","المنزل بارد جداً، أحضر قليلاً من الحطب الجاف لنشعل المدفأة.",High,neutral
"يا بيي ما اخم ريحة هاللبنة، كبها غاد","يا إلهي ما أسوأ رائحة هذه اللبنة، ارمها بعيداً",High,Negative
طحنا عالسوق امبارح واشتريت بسطار مليح للشغل.,نزلنا إلى السوق البارحة واشتريت حذاءً عسكرياً جيداً للعمل.,High,positive
"الزلمة قال الصحيح وما شذب بحرف، لا تظلموه.","الرجل قال الحقيقة ولم يكذب بأي حرف، لا تظلموه.",High,positive
ناولني هالخاشوقة خليني اكل,أعطني هذه الملعقة لآكل اللبنة,High,neutral
"يا ولد انطم واسكت، عزرت علينا قدام الضيوف.","يا ولد اصمت، لقد فضحتنا أمام الضيوف.",High,Negative
خيّو هيني ظبيت كل الوعية بالخزانة وسكرت الباب.,يا أخي لقد رتبت كل الملابس في الخزانة وأغلقت الباب.,High,neutral
"روحي طالعة من التعب، انكسر ظهري وأني بلقط زيتون.","أنا في غاية التعب والإرهاق، أُرهق ظهري وأنا أقطف الزيتون.",High,Negative
"الحصان مربوط عند البيدر، روح طعميه واسقيه مي.","الحصان مربوط عند مكان جمع الحصاد، اذهب وأطعمه واسقه الماء.",High,neutral
"والله قعدتكم بتسوى الدنيا، يا مية هلا بجيتشكم.","أقسم أن الجلوس معكم يعادل الدنيا، مئة أهلاً بقدومكم.",High,positive
سيبك منه هاظ ﺗِﻨﺢ وما برد على حدا لو تموت.,"دعه وشأنه، هذا شخص عنيد جداً ولا يستمع لأحد مهما حدث.",High,Negative
"البنت مليحة وطالعة لأمها، الله يحفظها من كل شر.","الفتاة جميلة جداً وتشبه أمها، حفظها الله من كل سوء.",High,positive
عبينا الخزان بالزور.,ملأنا الخزان بصعوبة.,High,Negative
"دشرنا الولد لحاله بالدار، خايف يكون خربها.","تركنا الولد بمفرده في المنزل، أخشى أن يكون قد أفسد الأشياء.",High,neutral
"الزريعة بدها سقاية، الارض ناشفة والشمس حامية.","النباتات بحاجة للري، التربة جافة والشمس حارقة.",High,neutral
امسك من إيدي ل توقعه عالدرج وتكسر راسه.,أمسكه من يده كي لا تسقطه على السلالم فيُصاب في رأسه.,High,neutral
"غصبن عنك بدك تروح تعتذر من عمك، انته الغلطان.","رغماً عنك ستذهب وتعتذر من عمك، لأنك أنت المخطئ.",High,positive
"هاي الحبة مخمجة من الشمس، زتها غاد لا توكلها.","هذه الثمرة أفسدتها حرارة الشمس، ارمها هناك ولا تأكلها.",High,Negative
"لا تظل تمطمط بالحكي، اعطيني الصافي وريح راسي.","لا تطل في الكلام والمماطلة، أعطني الخلاصة وأرح بالي.",High,Negative
اطلع من هون قبل ما تدبّق الأرض من الشتا ونعلق.,غادر من هنا قبل أن تصبح الأرض موحلة من المطر ونعلق فيها.,High,neutral
امسكها مليح لا تُمزط من ايدك وتنكسر مية شقفة.,أمسكها جيداً كي لا تنزلق من يدك وتتحطم لمئة قطعة.,High,neutral
قعدنا بالحوش نقرقش بزر ونتعلل لوجه الصبح.,جلسنا في فناء المنزل نأكل البذور ونسهر حتى الفجر.,High,positive
"لا تسُم بَدَني من الصبح، مش ناقصني وجع راس.","لا تعكر مزاجي وتغضبني منذ الصباح، لا أحتاج لمزيد من المشاكل.",High,Negative
"سقا الله ايام زمان، كانت الناس لبعضها والقلوب صافية.","يا ليت أيام الماضي تعود، كانت الناس تتساند والقلوب نقية.",High,neutral
"والله الصغار بِهِدّوا الحيل، روحي طالعة من وراهم.","أقسم أن الأطفال يرهقون القوى، أنا متعب جداً بسببهم.",High,Negative
"انقبر نام هسع، بكرا ورانا قومة من الفجر","اذهب للنوم الآن (توبيخ)، غداً علينا الاستيقاظ فجراً",High,Negative
"المي مقطوعة من يومين، والمزراب بنقط تنقيط.","المياه غير متوفرة منذ يومين، وميزاب الماء يسرب قطرات فقط.",High,Negative
"روح غاد بحز عني، خليني اعرف اشتغل براحتي.","ابتعد إلى هناك وابتعد عني، دعني أستطيع العمل براحتي.",High,neutral
شو مالك بوزك شبرين؟ ليكون مش عاجبك الاكل؟,لماذا أنت عابس بشدة؟ هل يُعقل أن الطعام لم يعجبك؟,High,Negative
"بالله قول لعمي انّي جاي، خليه يستناني عالباب.","بالله عليك أخبر عمي أنني قادم، دعه ينتظرني عند الباب.",High,neutral
"هات الرشوف ناكله، والله اني ميت من الجوع.","أحضر أكلة الرشوف لنتناولها، أقسم أنني أتضور جوعاً.",High,neutral
يا غبصا لويش عامل هيك بالزرعات؟ خربتهن كلهن.,يا غبي لماذا فعلت هكذا بالنباتات؟ لقد أتلفتها جميعاً.,High,Negative
"لا تظل تتأفف اشتغل، الشغل بده زلام مش حكي.","لا تستمر بالتذمر والشكوى بل اعمل، العمل يحتاج رجالاً لا كلاماً.",High,Negative
"شال الحمل على ظهره وما شكى لحدا، زلمة كفو.","تحمل المسؤولية كاملة ولم يشتكِ لأحد، إنه رجل يُعتمد عليه.",High,positive
صُب القهوة بالدلة وضيف المعازيب اللي اجوا هسه.,اسكب القهوة في الدلة وقدمها للضيوف الذين وصلوا للتو.,High,positive
"خليه بحاله لا تصيبه، هو من الله مطفر.","اتركه وشأنه ولا تلمسه، فهو بطبيعته مفلس تماماً.",High,neutral
شلّف الولد الحقوه قبل ما يضيع بالحرش بالليل.,"هرب الولد، اركضوا خلفه قبل أن يضيع في الغابة ليلاً.",High,Negative
الجلي مكوّم عالمجلى من امبارح.,الأطباق المتسخة متراكمة على الحوض منذ البارحة.,High,Negative
شو هالقَعدة العوجة؟ اقعد زي العالم والناس.,ما هذه الجلسة الخاطئة؟ اجلس باعتدال كما يفعل الناس.,High,Negative
"والله غير تميّل وتتغدى عندنا، جيرة الله ما بتروح.","أقسم أنك ستزورنا وتتناول الغداء، أقسمت عليك بالله ألا تذهب.",High,positive
"بلاش هبل، ركز مليح باللي بقوله الك.","كفاك غباءً وبلاهة، ركز جيداً في الكلام الذي أقوله لك.",High,Negative
طلع الطحين من القواره بدنا نخبز خبزات طابون.,"أخرج الطحين من مخزن الحبوب الطيني، نريد خبز خبز الطابون.",High,neutral
"لا تلعب بالجلاطه وتوسخ اواعيك، هسه امك بتذبحك.","لا تلعب بالوحل وتلطخ ملابسك، الآن ستعاقبك أمك بشدة.",High,Negative
هيني جاي اصبر علي مسافة طريق وبكون عندك.,"أنا قادم، انتظرني قليلاً، سأكون عندك بعد وقت قصير.",Medium,neutral
"لا تِتْخَوْث علينا ، السولافة جد مش لعب.","لا تسخر منا وتضحك، الموضوع جدي وليس مزاحاً.",High,Negative
"دير بالك لا تزحلق عالوطاة، الطينة بتزحلق كثير.","احذر أن تنزلق على الأرض، الوحل يسبب الانزلاق بشدة.",High,neutral
ركض عليه مثل الطلق ومسكه قبل ما يفل من الدار.,ركض نحوه بسرعة كالرصاصة وأمسك به قبل أن يهرب من المنزل.,High,neutral
شو اللعي الفاضي هاظ؟ فكنا من سيرته الطرما.,ما هذا الكلام الفارغ؟ أرحنا من هذه القصة المزعجة.,High,Negative
"والله إن فلان غانم، وعلومه بتبيّض الوجه دايماً.","أقسم أن فلاناً رجل شهم، وأخباره ترفع الرأس دائماً.",High,positive
لويش مطنشنا وما بترد علينا؟ زعلان ولا شو قصتك؟,لماذا تتجاهلنا ولا تجيبنا؟ هل أنت غاضب أم ما هو خطبك؟,High,Negative
"خربتّا بأيدك، ما حدا قلك تروح تلعب بالكهربا.","أفسدتها بيدك، لم يطلب منك أحد أن تعبث بالكهرباء.",High,Negative
ادفش زي العالم خلينا نقدر نطلع السيارة من الطينة.,ادفعها بقوة كما يفعل الناس لنتمكن من إخراج السيارة من الوحل.,Medium,neutral
"الدار معجوقة عِجق، قوموا رتبوا الفراشات بسرعة.","المنزل يعم بالفوضى والزحام، انهضوا ورتبوا الأغطية بسرعة.",High,Negative
"طُشّت المي ع الأرض، جيب ممسحة ونشفها","انسكب الماء على الأرض، أحضر ممسحة وجففها",High,neutral
"انكسر خاطري عليه، هالحزين ما اله حدا بالدنيا.","شعرت بالحزن والشفقة عليه، هذا المسكين ليس له سند في الدنيا.",High,Negative
"لا تظلكيش تبربر، راسي مفلوق فلق وبده ينفجر.","لا تستمري بالثرثرة المزعجة، رأسي مصدع جداً ويكاد ينفجر.",High,Negative
عشو ناوي يا زلمة؟ ترا الطابق وانكشف للكل.,ماذا تنوي أن تفعل يا رجل؟ للعلم المؤامرة انكشفت للجميع.,High,Negative
هات الغربال جاي نصفي القمح قبل ما نطحنه.,أحضر الغربال إلى هنا لنصفي القمح من الشوائب قبل طحنه.,High,neutral
"والله ما بَدري وين الله حاطه، طالع من الفجر وما رجع.","أقسم أنني لا أعلم أين هو أو ماذا يفعل، خرج فجراً ولم يعد.",Medium,neutral
ما بستحي على دمه,وقح لا يشعر بالخجل,High,Negative
طلع الحلة من الخزانة بدنا نطبخ مكمورة اليوم.,"أخرج القدر الكبير من الخزانة، سنطبخ أكلة المكمورة اليوم.",High,neutral
شو هالمصيبة اللي وقعنا بيها!,ما هذه المصيبة التي وقعنا فيها!,High,Negative
"انطمر بالفرشة ونام، بكرا عندك قراية وامتحان.","تخبأ في فراشك ونَم، غداً لديك دراسة وامتحان.",High,Negative
"هذا زلمة فاهي وما بجمع، لا تعتمد عليه بشي.","هذا رجل بطيء الفهم ولا يستوعب، لا تعتمد عليه في أي شيء.",High,Negative
"لا تطيح عن الدرج، دير بالك وانته نازل.","لا تسقط عن السلالم، انتبه لنفسك وأنت تنزل.",High,neutral
شو مالك مكشر ولاوي بوزك؟,لماذا أنت عابس وممتعض؟,High,Negative
شو اللي مساويه بحالك؟,ماذا فعلت بنفسك؟,High,neutral
"خبّصت الدنيا تخبيص، مين قلك تتصرف لحالك؟","لقد أفسدت الأمور تماماً، من طلب منك أن تتصرف بمفردك؟",High,Negative
"لا تحرث عليّ، الواحد مش لاحق عحاله.","لا ترهقني بكثرة الطلبات المتتالية، أنا بالكاد أجد وقتاً لنفسي.",High,Negative
خيّط الفتق اللي بثوبك قبل ما تطلع قدام الناس.,أرقع الثقب الذي في ثوبك قبل أن تخرج أمام الناس.,High,neutral
يا مشحر شو سويت؟ جبت العيد وفضحتنا بالحارة.,يا سيء الحظ ماذا فعلت؟ ارتكبت كارثة وفضحتنا في الحي.,High,Negative
خذ هاك هذول روح اشتري غراض من الدكانة.,"خذ هذه (النقود)، اذهب واشترِ بعض الأغراض من المتجر.",High,neutral
"سيرة وانفتحت، خلينا ننسى اللي صار.","موضوع وبدأ النقاش فيه، دعونا ننسى الماضي.",High,neutral
"الجو طقع اليوم، هاتلك كاسة شاي نطلع عالبلكونة.","الطقس رائع جداً اليوم، أحضر كوب شاي لنخرج إلى الشرفة.",High,positive
"فكني من هالطابق، مش ناقصني طلايب ومشاكل.","أبعدني عن هذه المشكلة والقصة، لا أحتاج لمطالبات ومشاكل.",High,Negative
اقعد واهدى يا زلمة.,اجلس واهدأ يا رجل.,High,neutral
سولافة ما بتخشش المخ.,قصة لا يصدقها العقل.,High,Negative
"الزلمة مطفر ومقحط، داينته ليرتين يمشي حاله.","الرجل مفلس ومعدم تماماً، أقرضته دينارين ليتدبر أموره.",High,Negative
هات الغربال نصفي القمحات,أحضر المنخل الواسع لتصفية القمح,High,neutral
"والله الاكل شاط وريحته طلعت، طفي النار تحته.","أقسم أن الطعام احترق وظهرت رائحة شياطه، أطفئ النار من تحته.",High,Negative
"انداري عنه ابصر ماله، من امبارح وهو مسكر على حاله.","لا أدري عنه، لست أعلم ما خطبه، منذ البارحة وهو يغلق بابه على نفسه.",High,Negative
